device_eui,name,time,position,message_id
000DB53908723666,admin,2017-09-19T10:59:42.356Z,"{""latitude"":1.321365,""longitude"":104.022407}",-1
000DB5390851366A,admin,2017-09-19T11:46:22.824Z,"{""latitude"":1.3217299999999998,""longitude"":104.02931699999999}",-1
000DB53908813667,admin,2017-09-19T12:23:51.652Z,"{""latitude"":1.321877,""longitude"":104.022408}",-1
000DB53906623658,admin,2017-09-19T13:11:48.489Z,"{""latitude"":1.321145,""longitude"":104.028652}",-1
000DB53905613665,admin,2017-09-19T13:41:39.125Z,"{""latitude"":1.321863,""longitude"":104.02252999999999}",-1
000DB5390361367B,admin,2017-09-19T13:44:14.340Z,"{""latitude"":1.321388,""longitude"":104.022272}",-1
000DB53906643664,admin,2017-09-19T13:49:20.849Z,"{""latitude"":1.32215,""longitude"":104.022645}",-1
000DB53904663660,admin,2017-09-19T14:21:58.160Z,"{""latitude"":1.321478,""longitude"":104.022137}",-1
000DB53908813667,admin,2017-09-19T14:27:51.104Z,"{""latitude"":1.321743,""longitude"":104.02243299999999}",-1
000DB53908803674,admin,2017-09-19T14:37:11.346Z,"{""latitude"":1.32454,""longitude"":104.022565}",-1
000DB53906623658,admin,2017-09-19T15:04:48.062Z,"{""latitude"":1.316242,""longitude"":104.022705}",-1
000DB5390361367B,admin,2017-09-19T15:19:13.941Z,"{""latitude"":1.3214,""longitude"":104.022607}",-1
000DB53905613665,admin,2017-09-19T15:40:39.705Z,"{""latitude"":1.321877,""longitude"":104.022565}",-1
000DB53908593665,admin,2017-09-20T08:05:40.232Z,"{""latitude"":1.322158,""longitude"":104.02257499999999}",-1
000DB53908693665,admin,2017-09-20T08:15:45.668Z,"{""latitude"":1.31737,""longitude"":104.024913}",-1
000DB53906603659,admin,2017-09-20T08:18:32.150Z,"{""latitude"":1.3222669999999999,""longitude"":104.02229799999999}",-1
000DB539035D3678,admin,2017-09-20T08:20:05.687Z,"{""latitude"":1.3218569999999998,""longitude"":104.022643}",-1
000DB539085E3675,admin,2017-09-20T09:09:26.376Z,"{""latitude"":1.32193,""longitude"":104.022618}",-1
000DB5390862366B,admin,2017-09-20T10:23:01.297Z,"{""latitude"":1.321983,""longitude"":104.022482}",-1
000DB539085E3675,admin,2017-09-20T10:50:25.887Z,"{""latitude"":1.321267,""longitude"":104.02248999999999}",-1
000DB5390860366D,admin,2017-09-20T11:38:02.428Z,"{""latitude"":1.323578,""longitude"":104.02274}",-1
000DB539085E3675,admin,2017-09-20T11:53:25.598Z,"{""latitude"":1.321323,""longitude"":104.022635}",-1
000DB53908593665,admin,2017-09-20T13:07:38.853Z,"{""latitude"":1.321323,""longitude"":104.022345}",-1
000DB5390860366D,admin,2017-09-20T15:15:01.524Z,"{""latitude"":1.321273,""longitude"":104.02264799999999}",-1
000DB53908593665,admin,2017-09-20T15:51:38.094Z,"{""latitude"":1.321508,""longitude"":104.022617}",-1
000DB53906553660,admin,2017-09-20T15:52:14.711Z,"{""latitude"":1.3218969999999999,""longitude"":104.022623}",-1
000DB5390668365C,admin,2017-09-20T16:06:03.987Z,"{""latitude"":1.32179,""longitude"":104.02259}",-1
000DB53908693665,admin,2017-09-20T16:12:43.415Z,"{""latitude"":1.320187,""longitude"":104.02154499999999}",-1
000DB5390862366B,admin,2017-09-20T16:12:59.749Z,"{""latitude"":1.321782,""longitude"":104.022545}",-1
000DB5390677365D,admin,2017-09-20T17:40:59.593Z,"{""latitude"":1.3182099999999999,""longitude"":104.016938}",-1
000DB53906553660,admin,2017-09-20T17:41:14.231Z,"{""latitude"":1.318125,""longitude"":104.01702}",-1
000DB539055C3669,admin,2017-09-21T10:02:21.238Z,"{""latitude"":1.321863,""longitude"":104.02258499999999}",-1
000DB53906693659,admin,2017-09-21T12:07:45.113Z,"{""latitude"":1.321928,""longitude"":104.022195}",-1
000DB539055C3669,admin,2017-09-21T12:22:19.903Z,"{""latitude"":1.3217619999999999,""longitude"":104.022622}",-1
000DB539055C3669,admin,2017-09-21T13:36:20.199Z,"{""latitude"":1.321715,""longitude"":104.0226}",-1
000DB5390862366B,admin,2017-09-21T13:37:42.439Z,"{""latitude"":1.321385,""longitude"":104.02248499999999}",-1
000DB53906693659,admin,2017-09-21T13:39:45.253Z,"{""latitude"":1.32111,""longitude"":104.022493}",-1
000DB539055C3669,admin,2017-09-21T14:49:19.966Z,"{""latitude"":1.3221319999999999,""longitude"":104.022555}",-1
000DB5390862366B,admin,2017-09-21T14:54:42.580Z,"{""latitude"":1.323553,""longitude"":104.02690799999999}",-1
000DB5390862366B,admin,2017-09-21T16:01:41.551Z,"{""latitude"":1.320922,""longitude"":104.021902}",-1
000DB5390867366A,admin,2017-09-21T21:59:25.250Z,"{""latitude"":1.322818,""longitude"":104.023563}",-1
000DB539066E3654,admin,2017-09-22T07:53:52.653Z,"{""latitude"":1.322358,""longitude"":104.022607}",-1
000DB53904663660,admin,2017-09-22T08:10:40.212Z,"{""latitude"":1.321423,""longitude"":104.02900299999999}",-1
